relative_path,board,tier,run_at,optimizer_cpu_seconds,optimizer_passes,score_before,score_after,delta,dL_before,dV_before,dB_before,dL_after,dV_after,dB_after,D,incomplete_after,drc_after,Lmin,Vmin,Bmin
PCBench/audio_relay_input_switch_relay_switch/unrouted.dsn,audio_relay_input_switch_relay_switch,B,2026-09-09T05:55:31.774675+00:00,16.77,2,750.0,774.69,24.69,0.0,61.73,188.27,0.0,49.38,175.93,162.0,0.0,9.0,591.23,1,37
PCBench/blinky-badge_blinky/unrouted.dsn,blinky-badge_blinky,B,2026-09-08T21:29:31.538682+00:00,99.88,1,748.55,775.0,26.45,6.0,163.64,81.82,0.0,145.45,79.55,220.0,0.0,162.0,490.18,2,86
PCBench/BB-PWR-8009_BB-PWR-8009_revA/unrouted.dsn,BB-PWR-8009_BB-PWR-8009_revA,B,2026-09-09T06:06:31.126873+00:00,5.28,1,753.87,775.45,21.58,108.2,68.97,68.97,95.24,68.97,60.34,58.0,0.0,18.0,66.36,0,16
PCBench/Practicas-Curso-Kicad_Ej2/unrouted.dsn,Practicas-Curso-Kicad_Ej2,A,2026-09-09T06:30:07.094588+00:00,14.78,1,747.34,776.6,29.26,0.0,148.94,103.72,0.0,127.66,95.74,188.0,0.0,0.0,552.51,1,34
PCBench/POV_POV/unrouted.dsn,POV_POV,A,2026-09-09T06:29:26.293000+00:00,2.13,1,778.57,778.57,0.0,0.0,0.0,221.43,0.0,0.0,221.43,70.0,0.0,0.0,345.91,0,16
PCBench/kitspace_temp_breakout/unrouted.dsn,kitspace_temp_breakout,A,2026-09-09T06:26:34.370966+00:00,1.75,1,778.71,778.71,0.0,96.29,0.0,125.0,96.29,0.0,125.0,48.0,0.0,0.0,232.62,0,4
PCBench/BlueBerry-Zero_blueberry/unrouted.dsn,BlueBerry-Zero_blueberry,B,2026-09-08T21:30:22.966139+00:00,27.63,1,780.46,780.46,0.0,0.0,111.68,107.87,0.0,111.68,107.87,394.0,1.0,8.0,655.47,0,84
PCBench/ATmega32_ExploreUltraAvrDevKit_40pin_AVRMCU/unrouted.dsn,ATmega32_ExploreUltraAvrDevKit_40pin_AVRMCU,A,2026-09-09T06:20:01.607510+00:00,32.69,1,772.0,782.0,10.0,0.0,56.0,172.0,0.0,48.0,170.0,250.0,0.0,0.0,1200.15,0,65
PCBench/sensorboard_DiffIR.kicad_pcb_narrow/unrouted.dsn,sensorboard_DiffIR.kicad_pcb_narrow,A,2026-09-09T06:30:55.995213+00:00,13.86,2,783.33,783.33,0.0,0.0,111.11,105.56,0.0,111.11,105.56,90.0,0.0,0.0,266.24,0,27
PCBench/SmartLaserCO2-PCB_WaterCool/unrouted.dsn,SmartLaserCO2-PCB_WaterCool,A,2026-09-09T06:30:30.913793+00:00,0.56,1,701.63,787.65,86.02,90.04,0.0,208.33,24.85,0.0,187.5,24.0,0.0,0.0,103.4,0,4
PCBench/ESP-12-breakout_ESP12E-breakout/unrouted.dsn,ESP-12-breakout_ESP12E-breakout,A,2026-09-09T06:22:12.011835+00:00,11.67,1,776.52,787.88,11.36,0.0,136.36,87.12,0.0,136.36,75.76,132.0,0.0,0.0,320.77,0,40
PCBench/oled-bmp280-touch_oled-bmp280-touch/unrouted.dsn,oled-bmp280-touch_oled-bmp280-touch,A,2026-09-09T06:28:04.562828+00:00,2.37,1,778.3,792.45,14.15,0.0,0.0,221.7,0.0,0.0,207.55,106.0,0.0,0.0,574.29,0,19
PCBench/kitspace_Arduino_uno_sheild/unrouted.dsn,kitspace_Arduino_uno_sheild,A,2026-09-09T06:26:11.220962+00:00,14.92,2,793.6,793.6,0.0,0.0,58.14,148.26,0.0,58.14,148.26,172.0,0.0,0.0,1100.86,0,33
