relative_path,native_score,v2_router_after,v2_optimizer_after,v2_optimizer_before,unrouted,drc,min_trace_length_mm,min_via_count,min_bend_count,difficulty_d
PCBench/Youyue-858D-plus-MCU-adapter_youyue-858d-plus-mcu-adapter/unrouted.dsn,1000.0,1000.0,999.97,999.83,0.0,0.0,401.57,0,37,300.0
PCBench/kitspace_12_24_boost_converter/unrouted.dsn,999.99,1000.0,999.84,999.79,0.0,0.0,346.86,0,24,82.0
PCBench/Camera-Modules_LG-G2-G3-13M-Breakout/unrouted.dsn,999.99,1000.0,999.48,999.48,0.0,0.0,794.25,0,28,126.0
PCBench/PCB_serie_led_strip/unrouted.dsn,1000.0,1000.0,1000.0,1000.0,0.0,0.0,39.06,0,0,44.0
PCBench/opentilt_opentilt1/unrouted.dsn,999.98,1000.0,999.79,999.79,0.0,0.0,607.06,0,14,128.0
PCBench/WeatherSpot_vreg_pressure/unrouted.dsn,1000.0,1000.0,999.86,999.88,0.0,0.0,56.73,0,9,38.0
PCBench/mechkeys_lfk78-jtag/unrouted.dsn,999.98,1000.0,999.48,999.48,0.0,0.0,110.49,0,8,40.0
PCBench/busblaster-to-swd_busblaster-to-swd/unrouted.dsn,999.99,1000.0,999.56,999.57,0.0,0.0,235.68,0,18,84.0
PCBench/Paperino_HW_Paperino_shield/unrouted.dsn,999.99,1000.0,999.77,999.65,0.0,0.0,612.06,0,12,120.0
PCBench/esp8266_link_test_esp12e-generics/unrouted.dsn,999.99,1000.0,999.77,999.77,0.0,0.0,171.24,0,23,96.0
PCBench/mechkeys_isp/unrouted.dsn,987.65,967.74,1000.0,1000.0,1.0,0.0,211.33,0,26,86.0
PCBench/WordClock_v2.0_WordClock_v2/unrouted.dsn,994.53,984.62,999.69,999.69,1.0,0.0,520.69,0,40,184.0
PCBench/kitspace_cseduinov4/unrouted.dsn,999.99,1000.0,999.93,999.92,0.0,0.0,547.29,0,24,200.0
PCBench/eBUS-Adapter_Henning/unrouted.dsn,999.99,1000.0,999.81,999.78,0.0,0.0,462.96,0,33,134.0
PCBench/HES-V2_hes/unrouted.dsn,999.99,1000.0,999.91,999.91,0.0,0.0,502.02,0,17,140.0
PCBench/SparkSwitch_SparkProtectionSwitch/unrouted.dsn,986.3,958.33,999.94,999.94,1.0,0.0,164.64,0,11,62.0
PCBench/ESP-Breakout_ESP-Breakout/unrouted.dsn,999.99,1000.0,999.49,999.34,0.0,0.0,286.77,13,43,152.0
PCBench/fuzzer_fuzzer/unrouted.dsn,999.99,1000.0,999.5,999.35,0.0,0.0,506.69,0,48,214.0
PCBench/KiCad-LTC6802-2_main/unrouted.dsn,999.99,1000.0,999.87,999.87,0.0,0.0,489.48,0,27,158.0
PCBench/rotorcontrol_nanomount/unrouted.dsn,999.98,1000.0,999.49,999.48,0.0,0.0,389.13,0,17,112.0
PCBench/esp8266-external-temp-sensor_external-temp-sensor/unrouted.dsn,999.99,1000.0,999.85,999.78,0.0,0.0,280.61,0,25,114.0
PCBench/Practicas-Curso-Kicad_Salguero_Federico2/unrouted.dsn,999.99,1000.0,999.61,999.61,0.0,0.0,492.96,0,32,188.0
PCBench/board_armjtag_pmod_compatible_armjtag-pmod/unrouted.dsn,988.09,965.52,999.77,999.77,1.0,0.0,287.02,0,14,82.0
PCBench/C-BISCUIT_crowbar/unrouted.dsn,999.99,1000.0,999.6,999.72,0.0,0.0,109.37,1,15,48.0
PCBench/sms-cart-32k_cart/unrouted.dsn,967.46,928.57,999.65,999.65,4.0,0.0,1016.43,0,32,168.0
PCBench/z2amiller_sensorboard_programmer/unrouted.dsn,999.99,1000.0,999.71,999.71,0.0,0.0,161.97,0,10,56.0
PCBench/kitspace_temp_breakout/unrouted.dsn,999.99,1000.0,999.5,999.65,0.0,0.0,232.62,0,4,48.0
PCBench/Teensy-Hats_Teensy-LCD-LiDAR-Hat/unrouted.dsn,999.99,1000.0,999.72,999.66,0.0,0.0,778.25,0,41,194.0
PCBench/breakout-boards_50-to-100/unrouted.dsn,999.98,1000.0,999.55,999.55,0.0,0.0,116.04,0,10,40.0
PCBench/Inkjet_InkjetBreakout/unrouted.dsn,999.99,1000.0,999.48,999.43,0.0,0.0,250.88,0,13,54.0
PCBench/gpsclock_clock/unrouted.dsn,937.48,875.0,999.66,999.66,6.0,0.0,1427.5,0,34,152.0
PCBench/kitspace_push-on-hold-off/unrouted.dsn,992.59,973.68,999.53,999.53,1.0,0.0,172.55,2,32,94.0
